Abricate_accession	Abricate_gene	gene family	product name	class	subclass	refseq protein	refseq nucleotide
A7J11_03718	blaPDC-154	blaPDC	class C beta-lactamase PDC-154	BETA-LACTAM	CEPHALOSPORIN	WP_064511504.1	NG_050827.1
A7J11_03719	blaPDC-155	blaPDC	class C beta-lactamase PDC-155	BETA-LACTAM	CEPHALOSPORIN	WP_064511505.1	NG_050828.1
A7J11_03720	blaPDC-156	blaPDC	class C beta-lactamase PDC-156	BETA-LACTAM	CEPHALOSPORIN	WP_064511506.1	NG_050829.1
A7J11_03721	blaPDC-157	blaPDC	class C beta-lactamase PDC-157	BETA-LACTAM	CEPHALOSPORIN	WP_064511507.1	NG_050830.1
A7J11_03722	blaPDC-158	blaPDC	class C beta-lactamase PDC-158	BETA-LACTAM	CEPHALOSPORIN	WP_064511508.1	NG_050831.1
A7J11_03723	blaPDC-159	blaPDC	class C beta-lactamase PDC-159	BETA-LACTAM	CEPHALOSPORIN	WP_064511509.1	NG_050832.1
A7J11_02441	blaPDC-16	blaPDC	class C beta-lactamase PDC-16	BETA-LACTAM	CEPHALOSPORIN	WP_019485213.1	NG_049886.1
A7J11_03724	blaPDC-160	blaPDC	class C beta-lactamase PDC-160	BETA-LACTAM	CEPHALOSPORIN	WP_064511510.1	NG_050833.1
A7J11_03725	blaPDC-161	blaPDC	class C beta-lactamase PDC-161	BETA-LACTAM	CEPHALOSPORIN	WP_064511511.1	NG_050834.1
A7J11_03726	blaPDC-162	blaPDC	class C beta-lactamase PDC-162	BETA-LACTAM	CEPHALOSPORIN	WP_064511512.1	NG_050835.1
A7J11_03727	blaPDC-163	blaPDC	class C beta-lactamase PDC-163	BETA-LACTAM	CEPHALOSPORIN	WP_064511513.1	NG_050836.1
A7J11_03728	blaPDC-164	blaPDC	class C beta-lactamase PDC-164	BETA-LACTAM	CEPHALOSPORIN	WP_064511514.1	NG_050837.1
A7J11_03729	blaPDC-165	blaPDC	class C beta-lactamase PDC-165	BETA-LACTAM	CEPHALOSPORIN	WP_064511515.1	NG_050838.1
A7J11_03740	blaPDC-166	blaPDC	class C beta-lactamase PDC-166	BETA-LACTAM	CEPHALOSPORIN	WP_065102306.1	NG_050946.1
A7J11_03741	blaPDC-167	blaPDC	class C beta-lactamase PDC-167	BETA-LACTAM	CEPHALOSPORIN	WP_065102311.1	NG_050947.1
A7J11_03743	blaPDC-168	blaPDC	class C beta-lactamase PDC-168	BETA-LACTAM	CEPHALOSPORIN	WP_054379352.1	NG_050980.1
A7J11_03745	blaPDC-169	blaPDC	class C beta-lactamase PDC-169	BETA-LACTAM	CEPHALOSPORIN	WP_065159028.1	NG_050981.1
A7J11_02442	blaPDC-17	blaPDC	class C beta-lactamase PDC-17	BETA-LACTAM	CEPHALOSPORIN	WP_063864571.1	NG_049887.1
A7J11_03746	blaPDC-170	blaPDC	class C beta-lactamase PDC-170	BETA-LACTAM	CEPHALOSPORIN	WP_065159032.1	NG_050982.1
A7J11_03744	blaPDC-171	blaPDC	class C beta-lactamase PDC-171	BETA-LACTAM	CEPHALOSPORIN	WP_058180135.1	NG_050983.1
A7J11_03818	blaPDC-172	blaPDC	class C beta-lactamase PDC-172	BETA-LACTAM	CEPHALOSPORIN	WP_049272244.1	NG_051496.1
A7J11_05220	blaPDC-173	blaPDC	class C beta-lactamase PDC-173	BETA-LACTAM	CEPHALOSPORIN	WP_099982812.1	NG_055780.1
A7J11_04825	blaPDC-174	blaPDC	class C beta-lactamase PDC-174	BETA-LACTAM	CEPHALOSPORIN	WP_070142141.1	NG_052625.1
A7J11_04950	blaPDC-175	blaPDC	class C beta-lactamase PDC-175	BETA-LACTAM	CEPHALOSPORIN	WP_077248206.1	NG_052891.1
A7J11_04951	blaPDC-176	blaPDC	class C beta-lactamase PDC-176	BETA-LACTAM	CEPHALOSPORIN	WP_077248207.1	NG_052892.1
A7J11_04995	blaPDC-177	blaPDC	class C beta-lactamase PDC-177	BETA-LACTAM	CEPHALOSPORIN	WP_085562393.1	NG_054679.1
A7J11_04996	blaPDC-178	blaPDC	class C beta-lactamase PDC-178	BETA-LACTAM	CEPHALOSPORIN	WP_085562394.1	NG_054680.1
A7J11_05054	blaPDC-179	blaPDC	class C beta-lactamase PDC-179	BETA-LACTAM	CEPHALOSPORIN	WP_087587950.1	NG_054965.1
A7J11_02478	blaPDC-18	blaPDC	class C beta-lactamase PDC-18	BETA-LACTAM	CEPHALOSPORIN	WP_063864572.1	NG_049888.1
A7J11_05055	blaPDC-180	blaPDC	class C beta-lactamase PDC-180	BETA-LACTAM	CEPHALOSPORIN	WP_087587951.1	NG_054966.1
A7J11_05056	blaPDC-181	blaPDC	class C beta-lactamase PDC-181	BETA-LACTAM	CEPHALOSPORIN	WP_087587952.1	NG_054967.1
A7J11_05057	blaPDC-182	blaPDC	class C beta-lactamase PDC-182	BETA-LACTAM	CEPHALOSPORIN	WP_087587953.1	NG_054968.1
A7J11_05058	blaPDC-183	blaPDC	class C beta-lactamase PDC-183	BETA-LACTAM	CEPHALOSPORIN	WP_087587954.1	NG_054969.1
A7J11_05059	blaPDC-184	blaPDC	class C beta-lactamase PDC-184	BETA-LACTAM	CEPHALOSPORIN	WP_061199990.1	NG_054970.1
A7J11_05060	blaPDC-185	blaPDC	class C beta-lactamase PDC-185	BETA-LACTAM	CEPHALOSPORIN	WP_087587955.1	NG_054971.1
A7J11_05061	blaPDC-186	blaPDC	class C beta-lactamase PDC-186	BETA-LACTAM	CEPHALOSPORIN	WP_087587956.1	NG_054972.1
A7J11_05062	blaPDC-187	blaPDC	class C beta-lactamase PDC-187	BETA-LACTAM	CEPHALOSPORIN	WP_087587957.1	NG_054973.1
A7J11_05063	blaPDC-188	blaPDC	class C beta-lactamase PDC-188	BETA-LACTAM	CEPHALOSPORIN	WP_087587958.1	NG_054974.1
A7J11_05064	blaPDC-189	blaPDC	class C beta-lactamase PDC-189	BETA-LACTAM	CEPHALOSPORIN	WP_024915536.1	NG_054975.1
A7J11_05065	blaPDC-190	blaPDC	class C beta-lactamase PDC-190	BETA-LACTAM	CEPHALOSPORIN	WP_087587959.1	NG_054976.1
A7J11_05066	blaPDC-191	blaPDC	class C beta-lactamase PDC-191	BETA-LACTAM	CEPHALOSPORIN	WP_087587960.1	NG_054977.1
A7J11_05067	blaPDC-192	blaPDC	class C beta-lactamase PDC-192	BETA-LACTAM	CEPHALOSPORIN	WP_004365741.1	NG_054978.1
A7J11_05068	blaPDC-193	blaPDC	class C beta-lactamase PDC-193	BETA-LACTAM	CEPHALOSPORIN	WP_087587961.1	NG_054979.1
A7J11_05069	blaPDC-194	blaPDC	class C beta-lactamase PDC-194	BETA-LACTAM	CEPHALOSPORIN	WP_087587962.1	NG_054980.1
A7J11_05070	blaPDC-195	blaPDC	class C beta-lactamase PDC-195	BETA-LACTAM	CEPHALOSPORIN	WP_025325152.1	NG_054981.1
A7J11_05071	blaPDC-197	blaPDC	class C beta-lactamase PDC-197	BETA-LACTAM	CEPHALOSPORIN	WP_057388025.1	NG_054982.1
A7J11_05072	blaPDC-198	blaPDC	class C beta-lactamase PDC-198	BETA-LACTAM	CEPHALOSPORIN	WP_087587963.1	NG_054983.1
A7J11_05073	blaPDC-199	blaPDC	class C beta-lactamase PDC-199	BETA-LACTAM	CEPHALOSPORIN	WP_087587964.1	NG_054984.1
A7J11_02623	blaPDC-19a	blaPDC	class C beta-lactamase PDC-19a	BETA-LACTAM	CEPHALOSPORIN	WP_003132320.1	NG_049889.1
A7J11_02699	blaPDC-19b	blaPDC	class C beta-lactamase PDC-19b	BETA-LACTAM	CEPHALOSPORIN	WP_023874922.1	NG_049890.1
A7J11_02360	blaPDC-2	blaPDC	class C extended-spectrum beta-lactamase PDC-2	BETA-LACTAM	CEPHALOSPORIN	WP_063864573.1	NG_049891.1
A7J11_02700	blaPDC-20	blaPDC	class C beta-lactamase PDC-20	BETA-LACTAM	CEPHALOSPORIN	WP_016263090.1	NG_049892.1
A7J11_05074	blaPDC-200	blaPDC	class C beta-lactamase PDC-200	BETA-LACTAM	CEPHALOSPORIN	WP_087587965.1	NG_054985.1
A7J11_05075	blaPDC-201	blaPDC	class C beta-lactamase PDC-201	BETA-LACTAM	CEPHALOSPORIN	WP_087587966.1	NG_054986.1
A7J11_05076	blaPDC-202	blaPDC	class C beta-lactamase PDC-202	BETA-LACTAM	CEPHALOSPORIN	WP_087587967.1	NG_054987.1
A7J11_05077	blaPDC-203	blaPDC	class C beta-lactamase PDC-203	BETA-LACTAM	CEPHALOSPORIN	WP_087587968.1	NG_054988.1
A7J11_05078	blaPDC-204	blaPDC	class C beta-lactamase PDC-204	BETA-LACTAM	CEPHALOSPORIN	WP_087587969.1	NG_054989.1
A7J11_05079	blaPDC-205	blaPDC	class C beta-lactamase PDC-205	BETA-LACTAM	CEPHALOSPORIN	WP_087587970.1	NG_054990.1
A7J11_05080	blaPDC-206	blaPDC	class C beta-lactamase PDC-206	BETA-LACTAM	CEPHALOSPORIN	WP_087587971.1	NG_054991.1
A7J11_05081	blaPDC-207	blaPDC	class C beta-lactamase PDC-207	BETA-LACTAM	CEPHALOSPORIN	WP_058161279.1	NG_054992.1
A7J11_05082	blaPDC-208	blaPDC	class C beta-lactamase PDC-208	BETA-LACTAM	CEPHALOSPORIN	WP_087587972.1	NG_054993.1
A7J11_05083	blaPDC-209	blaPDC	class C beta-lactamase PDC-209	BETA-LACTAM	CEPHALOSPORIN	WP_087587973.1	NG_054994.1
A7J11_05084	blaPDC-210	blaPDC	class C beta-lactamase PDC-210	BETA-LACTAM	CEPHALOSPORIN	WP_087587974.1	NG_054995.1
A7J11_05095	blaPDC-211	blaPDC	class C beta-lactamase PDC-211	BETA-LACTAM	CEPHALOSPORIN	WP_088245216.1	NG_055273.1
A7J11_05096	blaPDC-212	blaPDC	class C beta-lactamase PDC-212	BETA-LACTAM	CEPHALOSPORIN	WP_088245217.1	NG_055274.1
A7J11_05098	blaPDC-213	blaPDC	class C beta-lactamase PDC-213	BETA-LACTAM	CEPHALOSPORIN	WP_073647245.1	NG_055276.1
A7J11_05099	blaPDC-214	blaPDC	class C beta-lactamase PDC-214	BETA-LACTAM	CEPHALOSPORIN	WP_088245219.1	NG_055277.1
A7J11_05100	blaPDC-215	blaPDC	class C beta-lactamase PDC-215	BETA-LACTAM	CEPHALOSPORIN	WP_088245220.1	NG_055278.1
A7J11_05101	blaPDC-216	blaPDC	class C beta-lactamase PDC-216	BETA-LACTAM	CEPHALOSPORIN	WP_088245221.1	NG_055279.1
A7J11_05102	blaPDC-217	blaPDC	class C beta-lactamase PDC-217	BETA-LACTAM	CEPHALOSPORIN	WP_088245222.1	NG_055280.1
A7J11_05103	blaPDC-218	blaPDC	class C beta-lactamase PDC-218	BETA-LACTAM	CEPHALOSPORIN	WP_088245223.1	NG_055281.1
A7J11_05104	blaPDC-219	blaPDC	class C beta-lactamase PDC-219	BETA-LACTAM	CEPHALOSPORIN	WP_088245224.1	NG_055282.1
A7J11_02624	blaPDC-21a	blaPDC	class C beta-lactamase PDC-21a	BETA-LACTAM	CEPHALOSPORIN	WP_063864574.1	NG_049893.1
A7J11_02701	blaPDC-21b	blaPDC	class C beta-lactamase PDC-21b	BETA-LACTAM	CEPHALOSPORIN	WP_063864575.1	NG_049894.1
A7J11_02625	blaPDC-22	blaPDC	class C beta-lactamase PDC-22	BETA-LACTAM	CEPHALOSPORIN	WP_023108311.1	NG_049895.1
A7J11_05097	blaPDC-220	blaPDC	class C beta-lactamase PDC-220	BETA-LACTAM	CEPHALOSPORIN	WP_088245218.1	NG_055275.1
A7J11_05305	blaPDC-221	blaPDC	class C beta-lactamase PDC-221	BETA-LACTAM	CEPHALOSPORIN	WP_100931731.1	NG_056055.1
A7J11_05306	blaPDC-222	blaPDC	class C beta-lactamase PDC-222	BETA-LACTAM	CEPHALOSPORIN	WP_100931732.1	NG_056056.1
A7J11_05307	blaPDC-223	blaPDC	class C beta-lactamase PDC-223	BETA-LACTAM	CEPHALOSPORIN	WP_100931733.1	NG_056057.1
A7J11_05312	blaPDC-224	blaPDC	class C beta-lactamase PDC-224	BETA-LACTAM	CEPHALOSPORIN	WP_101244936.1	NG_056102.1
A7J11_05313	blaPDC-225	blaPDC	class C beta-lactamase PDC-225	BETA-LACTAM	CEPHALOSPORIN	WP_058169941.1	NG_056103.1
A7J11_05314	blaPDC-226	blaPDC	class C beta-lactamase PDC-226	BETA-LACTAM	CEPHALOSPORIN	WP_061190338.1	NG_056104.1
A7J11_05369	blaPDC-227	blaPDC	class C beta-lactamase PDC-227	BETA-LACTAM	CEPHALOSPORIN	WP_104009856.1	NG_056419.1
A7J11_05370	blaPDC-228	blaPDC	class C beta-lactamase PDC-228	BETA-LACTAM	CEPHALOSPORIN	WP_104009857.1	NG_056420.1
A7J11_05371	blaPDC-229	blaPDC	class C beta-lactamase PDC-229	BETA-LACTAM	CEPHALOSPORIN	WP_104009858.1	NG_056421.1
A7J11_02626	blaPDC-23	blaPDC	class C beta-lactamase PDC-23	BETA-LACTAM	CEPHALOSPORIN	WP_034071670.1	NG_049896.1
A7J11_05372	blaPDC-230	blaPDC	class C beta-lactamase PDC-230	BETA-LACTAM	CEPHALOSPORIN	WP_104009859.1	NG_056422.1
A7J11_05373	blaPDC-231	blaPDC	class C beta-lactamase PDC-231	BETA-LACTAM	CEPHALOSPORIN	WP_104009860.1	NG_056423.1
A7J11_05374	blaPDC-232	blaPDC	class C beta-lactamase PDC-232	BETA-LACTAM	CEPHALOSPORIN	WP_104009861.1	NG_056424.1
A7J11_05375	blaPDC-233	blaPDC	class C beta-lactamase PDC-233	BETA-LACTAM	CEPHALOSPORIN	WP_104009862.1	NG_056425.1
A7J11_05376	blaPDC-234	blaPDC	class C beta-lactamase PDC-234	BETA-LACTAM	CEPHALOSPORIN	WP_104009832.1	NG_056389.1
A7J11_05377	blaPDC-235	blaPDC	class C beta-lactamase PDC-235	BETA-LACTAM	CEPHALOSPORIN	WP_104009833.1	NG_056390.1
A7J11_05378	blaPDC-236	blaPDC	class C beta-lactamase PDC-236	BETA-LACTAM	CEPHALOSPORIN	WP_104009834.1	NG_056391.1
A7J11_05379	blaPDC-237	blaPDC	class C beta-lactamase PDC-237	BETA-LACTAM	CEPHALOSPORIN	WP_104009835.1	NG_056392.1
A7J11_05380	blaPDC-238	blaPDC	class C beta-lactamase PDC-238	BETA-LACTAM	CEPHALOSPORIN	WP_104009836.1	NG_056393.1
A7J11_05381	blaPDC-239	blaPDC	class C beta-lactamase PDC-239	BETA-LACTAM	CEPHALOSPORIN	WP_104009837.1	NG_056394.1
A7J11_02703	blaPDC-24	blaPDC	class C beta-lactamase PDC-24	BETA-LACTAM	CEPHALOSPORIN	WP_023115067.1	NG_049897.1
A7J11_05382	blaPDC-240	blaPDC	class C beta-lactamase PDC-240	BETA-LACTAM	CEPHALOSPORIN	WP_034035338.1	NG_056395.1
A7J11_05383	blaPDC-241	blaPDC	class C beta-lactamase PDC-241	BETA-LACTAM	CEPHALOSPORIN	WP_104009838.1	NG_056396.1
A7J11_05384	blaPDC-242	blaPDC	class C beta-lactamase PDC-242	BETA-LACTAM	CEPHALOSPORIN	WP_104009839.1	NG_056397.1
A7J11_05385	blaPDC-243	blaPDC	class C beta-lactamase PDC-243	BETA-LACTAM	CEPHALOSPORIN	WP_104009840.1	NG_056398.1
A7J11_05386	blaPDC-244	blaPDC	class C beta-lactamase PDC-244	BETA-LACTAM	CEPHALOSPORIN	WP_104009841.1	NG_056399.1
A7J11_05387	blaPDC-245	blaPDC	class C beta-lactamase PDC-245	BETA-LACTAM	CEPHALOSPORIN	WP_100831609.1	NG_056400.1
A7J11_05388	blaPDC-246	blaPDC	class C beta-lactamase PDC-246	BETA-LACTAM	CEPHALOSPORIN	WP_104009842.1	NG_056401.1
A7J11_05389	blaPDC-247	blaPDC	class C beta-lactamase PDC-247	BETA-LACTAM	CEPHALOSPORIN	WP_104009843.1	NG_056402.1
A7J11_05390	blaPDC-248	blaPDC	class C beta-lactamase PDC-248	BETA-LACTAM	CEPHALOSPORIN	WP_104009844.1	NG_056403.1
A7J11_02704	blaPDC-25	blaPDC	class C beta-lactamase PDC-25	BETA-LACTAM	CEPHALOSPORIN	WP_063864576.1	NG_049898.1
A7J11_05559	blaPDC-250	blaPDC	class C beta-lactamase PDC-250	BETA-LACTAM	CEPHALOSPORIN	WP_058174497.1	NG_057582.1
A7J11_05560	blaPDC-251	blaPDC	class C beta-lactamase PDC-251	BETA-LACTAM	CEPHALOSPORIN	WP_109791185.1	NG_057583.1
A7J11_05561	blaPDC-252	blaPDC	class C beta-lactamase PDC-252	BETA-LACTAM	CEPHALOSPORIN	WP_109791186.1	NG_057584.1
A7J11_05562	blaPDC-253	blaPDC	class C beta-lactamase PDC-253	BETA-LACTAM	CEPHALOSPORIN	WP_109791187.1	NG_057585.1
A7J11_05563	blaPDC-254	blaPDC	class C beta-lactamase PDC-254	BETA-LACTAM	CEPHALOSPORIN	WP_109791188.1	NG_057586.1
A7J11_05564	blaPDC-255	blaPDC	class C beta-lactamase PDC-255	BETA-LACTAM	CEPHALOSPORIN	WP_109791189.1	NG_057587.1
A7J11_05565	blaPDC-256	blaPDC	class C beta-lactamase PDC-256	BETA-LACTAM	CEPHALOSPORIN	WP_109791190.1	NG_057588.1
A7J11_05566	blaPDC-257	blaPDC	class C beta-lactamase PDC-257	BETA-LACTAM	CEPHALOSPORIN	WP_109791191.1	NG_057589.1
A7J11_05567	blaPDC-258	blaPDC	class C beta-lactamase PDC-258	BETA-LACTAM	CEPHALOSPORIN	WP_109791192.1	NG_057590.1
A7J11_05568	blaPDC-259	blaPDC	class C beta-lactamase PDC-259	BETA-LACTAM	CEPHALOSPORIN	WP_109791193.1	NG_057591.1
A7J11_02705	blaPDC-26	blaPDC	class C beta-lactamase PDC-26	BETA-LACTAM	CEPHALOSPORIN	WP_063864577.1	NG_049899.1
A7J11_05569	blaPDC-260	blaPDC	class C beta-lactamase PDC-260	BETA-LACTAM	CEPHALOSPORIN	WP_109791194.1	NG_057592.1
A7J11_05570	blaPDC-261	blaPDC	class C beta-lactamase PDC-261	BETA-LACTAM	CEPHALOSPORIN	WP_109791195.1	NG_057593.1
A7J11_05571	blaPDC-262	blaPDC	class C beta-lactamase PDC-262	BETA-LACTAM	CEPHALOSPORIN	WP_109791196.1	NG_057594.1
A7J11_05572	blaPDC-263	blaPDC	class C beta-lactamase PDC-263	BETA-LACTAM	CEPHALOSPORIN	WP_109791197.1	NG_057595.1
A7J11_05573	blaPDC-264	blaPDC	class C beta-lactamase PDC-264	BETA-LACTAM	CEPHALOSPORIN	WP_109791198.1	NG_057596.1
A7J11_05574	blaPDC-265	blaPDC	class C beta-lactamase PDC-265	BETA-LACTAM	CEPHALOSPORIN	WP_109791199.1	NG_057597.1
A7J11_05575	blaPDC-266	blaPDC	class C beta-lactamase PDC-266	BETA-LACTAM	CEPHALOSPORIN	WP_109791200.1	NG_057598.1
A7J11_05576	blaPDC-267	blaPDC	class C beta-lactamase PDC-267	BETA-LACTAM	CEPHALOSPORIN	WP_109791201.1	NG_057599.1
A7J11_05577	blaPDC-268	blaPDC	class C beta-lactamase PDC-268	BETA-LACTAM	CEPHALOSPORIN	WP_109791202.1	NG_057600.1
A7J11_05578	blaPDC-270	blaPDC	class C beta-lactamase PDC-270	BETA-LACTAM	CEPHALOSPORIN	WP_109791203.1	NG_057601.1
A7J11_05579	blaPDC-271	blaPDC	class C beta-lactamase PDC-271	BETA-LACTAM	CEPHALOSPORIN	WP_058157026.1	NG_057602.1
A7J11_05580	blaPDC-272	blaPDC	class C beta-lactamase PDC-272	BETA-LACTAM	CEPHALOSPORIN	WP_109791204.1	NG_057603.1
A7J11_05581	blaPDC-273	blaPDC	class C beta-lactamase PDC-273	BETA-LACTAM	CEPHALOSPORIN	WP_109791205.1	NG_057604.1
A7J11_05582	blaPDC-274	blaPDC	class C beta-lactamase PDC-274	BETA-LACTAM	CEPHALOSPORIN	WP_109791206.1	NG_057605.1
A7J11_05761	blaPDC-275	blaPDC	class C beta-lactamase PDC-275	BETA-LACTAM	CEPHALOSPORIN	WP_111672883.1	NG_060537.1
A7J11_05770	blaPDC-276	blaPDC	class C beta-lactamase PDC-276	BETA-LACTAM	CEPHALOSPORIN	WP_111672890.1	NG_060546.1
A7J11_05771	blaPDC-277	blaPDC	class C beta-lactamase PDC-277	BETA-LACTAM	CEPHALOSPORIN	WP_111672891.1	NG_060547.1
A7J11_05772	blaPDC-278	blaPDC	class C beta-lactamase PDC-278	BETA-LACTAM	CEPHALOSPORIN	WP_070698497.1	NG_060548.1
A7J11_05773	blaPDC-279	blaPDC	class C beta-lactamase PDC-279	BETA-LACTAM	CEPHALOSPORIN	WP_111672892.1	NG_060549.1
A7J11_02702	blaPDC-28	blaPDC	class C beta-lactamase PDC-28	BETA-LACTAM	CEPHALOSPORIN	WP_034075190.1	NG_049900.1
A7J11_05774	blaPDC-280	blaPDC	class C beta-lactamase PDC-280	BETA-LACTAM	CEPHALOSPORIN	WP_111672893.1	NG_060550.1
A7J11_05775	blaPDC-281	blaPDC	class C beta-lactamase PDC-281	BETA-LACTAM	CEPHALOSPORIN	WP_111672894.1	NG_060551.1
A7J11_05776	blaPDC-282	blaPDC	class C beta-lactamase PDC-282	BETA-LACTAM	CEPHALOSPORIN	WP_111672895.1	NG_060552.1
A7J11_05777	blaPDC-283	blaPDC	class C beta-lactamase PDC-283	BETA-LACTAM	CEPHALOSPORIN	WP_111672896.1	NG_060553.1
A7J11_05778	blaPDC-284	blaPDC	class C beta-lactamase PDC-284	BETA-LACTAM	CEPHALOSPORIN	WP_111672897.1	NG_060554.1
A7J11_05779	blaPDC-285	blaPDC	class C beta-lactamase PDC-285	BETA-LACTAM	CEPHALOSPORIN	WP_073669325.1	NG_060555.1
A7J11_05762	blaPDC-286	blaPDC	class C beta-lactamase PDC-286	BETA-LACTAM	CEPHALOSPORIN	WP_016252988.1	NG_060538.1
A7J11_05780	blaPDC-287	blaPDC	class C beta-lactamase PDC-287	BETA-LACTAM	CEPHALOSPORIN	WP_111672898.1	NG_060556.1
A7J11_05781	blaPDC-288	blaPDC	class C beta-lactamase PDC-288	BETA-LACTAM	CEPHALOSPORIN	WP_111672899.1	NG_060557.1
A7J11_05782	blaPDC-289	blaPDC	class C beta-lactamase PDC-289	BETA-LACTAM	CEPHALOSPORIN	WP_111672900.1	NG_060558.1
A7J11_05783	blaPDC-290	blaPDC	class C beta-lactamase PDC-290	BETA-LACTAM	CEPHALOSPORIN	WP_111672901.1	NG_060559.1
A7J11_05785	blaPDC-291	blaPDC	class C beta-lactamase PDC-291	BETA-LACTAM	CEPHALOSPORIN	WP_111672903.1	NG_060561.1
A7J11_05786	blaPDC-292	blaPDC	class C beta-lactamase PDC-292	BETA-LACTAM	CEPHALOSPORIN	WP_111672904.1	NG_060562.1
A7J11_05787	blaPDC-293	blaPDC	class C beta-lactamase PDC-293	BETA-LACTAM	CEPHALOSPORIN	WP_111672905.1	NG_060563.1
A7J11_05763	blaPDC-294	blaPDC	class C beta-lactamase PDC-294	BETA-LACTAM	CEPHALOSPORIN	WP_111672884.1	NG_060539.1
A7J11_05764	blaPDC-295	blaPDC	class C beta-lactamase PDC-295	BETA-LACTAM	CEPHALOSPORIN	WP_111672885.1	NG_060540.1
A7J11_05765	blaPDC-296	blaPDC	class C beta-lactamase PDC-296	BETA-LACTAM	CEPHALOSPORIN	WP_111672886.1	NG_060541.1
A7J11_05766	blaPDC-297	blaPDC	class C beta-lactamase PDC-297	BETA-LACTAM	CEPHALOSPORIN	WP_111672887.1	NG_060542.1
A7J11_05767	blaPDC-298	blaPDC	class C beta-lactamase PDC-298	BETA-LACTAM	CEPHALOSPORIN	WP_061193431.1	NG_060543.1
A7J11_05768	blaPDC-299	blaPDC	class C beta-lactamase PDC-299	BETA-LACTAM	CEPHALOSPORIN	WP_111672888.1	NG_060544.1
A7J11_01594	blaPDC-3	blaPDC	class C extended-spectrum beta-lactamase PDC-3	BETA-LACTAM	CEPHALOSPORIN	WP_003121934.1	NG_049901.1
A7J11_02499	blaPDC-30	blaPDC	class C beta-lactamase PDC-30	BETA-LACTAM	CEPHALOSPORIN	WP_003110141.1	NG_049902.1
A7J11_05769	blaPDC-300	blaPDC	class C beta-lactamase PDC-300	BETA-LACTAM	CEPHALOSPORIN	WP_111672889.1	NG_060545.1
A7J11_05790	blaPDC-301	blaPDC	class C beta-lactamase PDC-301	BETA-LACTAM	CEPHALOSPORIN	WP_111672908.1	NG_060566.1
A7J11_05791	blaPDC-302	blaPDC	class C beta-lactamase PDC-302	BETA-LACTAM	CEPHALOSPORIN	WP_111672909.1	NG_060567.1
A7J11_05792	blaPDC-303	blaPDC	class C beta-lactamase PDC-303	BETA-LACTAM	CEPHALOSPORIN	WP_111672910.1	NG_060568.1
A7J11_05850	blaPDC-304	blaPDC	class C beta-lactamase PDC-304	BETA-LACTAM	CEPHALOSPORIN	WP_116786834.1	NG_061620.1
A7J11_05854	blaPDC-305	blaPDC	class C beta-lactamase PDC-305	BETA-LACTAM	CEPHALOSPORIN	WP_116786837.1	NG_061624.1
A7J11_05855	blaPDC-306	blaPDC	class C beta-lactamase PDC-306	BETA-LACTAM	CEPHALOSPORIN	WP_116786838.1	NG_061625.1
A7J11_05922	blaPDC-307	blaPDC	class C beta-lactamase PDC-307	BETA-LACTAM	CEPHALOSPORIN	WP_122630845.1	NG_062258.1
A7J11_05923	blaPDC-308	blaPDC	class C beta-lactamase PDC-308	BETA-LACTAM	CEPHALOSPORIN	WP_122630846.1	NG_062259.1
A7J11_05924	blaPDC-309	blaPDC	class C beta-lactamase PDC-309	BETA-LACTAM	CEPHALOSPORIN	WP_122630847.1	NG_062260.1
A7J11_01002	blaPDC-31	blaPDC	class C beta-lactamase PDC-31	BETA-LACTAM	CEPHALOSPORIN	WP_016562272.1	NG_049903.1
A7J11_05925	blaPDC-310	blaPDC	class C beta-lactamase PDC-310	BETA-LACTAM	CEPHALOSPORIN	WP_122630848.1	NG_062261.1
A7J11_05926	blaPDC-311	blaPDC	class C beta-lactamase PDC-311	BETA-LACTAM	CEPHALOSPORIN	WP_122630849.1	NG_062262.1
A7J11_05927	blaPDC-312	blaPDC	class C beta-lactamase PDC-312	BETA-LACTAM	CEPHALOSPORIN	WP_122630850.1	NG_062263.1
A7J11_05928	blaPDC-313	blaPDC	class C beta-lactamase PDC-313	BETA-LACTAM	CEPHALOSPORIN	WP_122630851.1	NG_062264.1
A7J11_05929	blaPDC-314	blaPDC	class C beta-lactamase PDC-314	BETA-LACTAM	CEPHALOSPORIN	WP_122630852.1	NG_062265.1
A7J11_05966	blaPDC-315	blaPDC	class C beta-lactamase PDC-315	BETA-LACTAM	CEPHALOSPORIN	WP_122630882.1	NG_062302.1
A7J11_05967	blaPDC-316	blaPDC	class C beta-lactamase PDC-316	BETA-LACTAM	CEPHALOSPORIN	WP_122630883.1	NG_062303.1
A7J11_06099	blaPDC-317	blaPDC	class C beta-lactamase PDC-317	BETA-LACTAM	CEPHALOSPORIN	WP_128268280.1	NG_063888.1
A7J11_01643	blaPDC-32	blaPDC	class C beta-lactamase PDC-32	BETA-LACTAM	CEPHALOSPORIN	WP_063864579.1	NG_049904.1
A7J11_01764	blaPDC-33	blaPDC	class C beta-lactamase PDC-33	BETA-LACTAM	CEPHALOSPORIN	WP_012074328.1	NG_049905.1
A7J11_01152	blaPDC-34	blaPDC	class C beta-lactamase PDC-34	BETA-LACTAM	CEPHALOSPORIN	WP_003137570.1	NG_049906.1
A7J11_01644	blaPDC-35	blaPDC	class C beta-lactamase PDC-35	BETA-LACTAM	CEPHALOSPORIN	WP_003093423.1	NG_049907.1
